Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","511","Population totale","2501","Population","2014","2014","1000 personnes","33370.79","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5301","Disponibilité intérieure","2501","Population","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","511","Population totale","2501","Population","2017","2017","1000 personnes","36296.11","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5301","Disponibilité intérieure","2501","Population","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2014","2014","Kcal/personne/jour","2019","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2014","2014","g/personne/jour","56.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2000","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","54.09","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","224","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","12.17","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","191","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","10.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5511","Production","2734","Viande de Volailles","2014","2014","Milliers de tonnes","25","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2014","2014","Milliers de tonnes","43","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5911","Exportations - Quantité","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2014","2014","Milliers de tonnes","68","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5521","Aliments pour animaux","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5527","Semences","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5123","Pertes","2734","Viande de Volailles","2014","2014","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5131","Traitement","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5154","Autres utilisations (non alimentaire)","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5171","Alimentation pour touristes","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5170","Résidus","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2014","2014","Milliers de tonnes","66","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2014","2014","kg","1.98","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2014","2014","Kcal/personne/jour","7","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2014","2014","g/personne/jour","0.71","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","28","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","57","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5123","Pertes","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5170","Résidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","55","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","1.53","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","5","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","0.54","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","511","Population totale","2501","Population","2014","2014","1000 personnes","54544.19","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5301","Disponibilité intérieure","2501","Population","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","511","Population totale","2501","Population","2017","2017","1000 personnes","57009.76","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5301","Disponibilité intérieure","2501","Population","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2014","2014","Kcal/personne/jour","2980","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2014","2014","g/personne/jour","83.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2994","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","83.41","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","460","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","35","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","456","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.56","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5511","Production","2734","Viande de Volailles","2014","2014","Milliers de tonnes","1725","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2014","2014","Milliers de tonnes","360","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5072","Variation de stock","2734","Viande de Volailles","2014","2014","Milliers de tonnes","-0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5911","Exportations - Quantité","2734","Viande de Volailles","2014","2014","Milliers de tonnes","66","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5301","Disponibilité intérieure","2734","Viande de Volailles","2014","2014","Milliers de tonnes","2020","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5123","Pertes","2734","Viande de Volailles","2014","2014","Milliers de tonnes","86","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5171","Alimentation pour touristes","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5170","Résidus","2734","Viande de Volailles","2014","2014","Milliers de tonnes","-0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2014","2014","Milliers de tonnes","1934","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2014","2014","kg","35.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2014","2014","Kcal/personne/jour","143","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2014","2014","g/personne/jour","14.01","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1667","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","514","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","-0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","63","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2118","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5123","Pertes","2734","Viande de Volailles","2017","2017","Milliers de tonnes","83","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5171","Alimentation pour touristes","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5170","Résidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2035","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2017","2017","kg","35.69","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2017","2017","Kcal/personne/jour","143","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","511","Population totale","2501","Population","2014","2014","1000 personnes","2896.3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5301","Disponibilité intérieure","2501","Population","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","511","Population totale","2501","Population","2017","2017","1000 personnes","2884.17","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5301","Disponibilité intérieure","2501","Population","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2014","2014","Kcal/personne/jour","3274","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2014","2014","g/personne/jour","113.53","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3400","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","119.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","1018","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","60.61","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1094","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","66.34","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5511","Production","2734","Viande de Volailles","2014","2014","Milliers de tonnes","13","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2014","2014","Milliers de tonnes","21","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5072","Variation de stock","2734","Viande de Volailles","2014","2014","Milliers de tonnes","-6","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2014","2014","Milliers de tonnes","40","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5170","Résidus","2734","Viande de Volailles","2014","2014","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","5142","Nourriture","2734","Viande de Volailles","2014","2014","Milliers de tonnes","40","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","ALB","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2014","2014","kg","13.79","Fc","Donnée calculée"
